iter	Passed	Remaining
1039	7016	60453
1040	7023	60442
1041	7029	60435
1042	7036	60426
1043	7043	60419
1044	7049	60410
1045	7056	60401
1046	7062	60395
1047	7069	60385
1048	7076	60380
1049	7082	60372
1050	7089	60367
1051	7096	60357
1052	7102	60350
1053	7109	60344
1054	7115	60334
1055	7122	60325
1056	7128	60315
1057	7135	60307
1058	7141	60291
1059	7147	60284
1060	7154	60280
1061	7161	60273
1062	7167	60260
1063	7174	60253
1064	7180	60245
1065	7187	60235
1066	7193	60226
1067	7200	60216
1068	7206	60208
1069	7213	60205
1070	7220	60195
1071	7226	60187
1072	7232	60171
1073	7238	60160
1074	7245	60151
1075	7251	60141
1076	7258	60133
1077	7264	60124
1078	7271	60117
1079	7277	60110
1080	7284	60100
1081	7291	60093
1082	7296	60077
1083	7303	60068
1084	7308	60052
1085	7315	60042
1086	7321	60033
1087	7327	60023
1088	7333	60011
1089	7339	59992
1090	7345	59982
1091	7351	59972
1092	7358	59963
1093	7363	59947
1094	7369	59935
1095	7376	59926
1096	7383	59919
1097	7389	59911
1098	7395	59900
1099	7401	59886
1100	7407	59874
1101	7414	59869
1102	7420	59853
1103	7425	59836
1104	7432	59832
1105	7439	59822
1106	7445	59814
1107	7452	59806
1108	7458	59798
1109	7465	59789
1110	7471	59780
1111	7478	59771
1112	7484	59761
1113	7491	59754
1114	7500	59770
1115	7507	59766
1116	7514	59757
1117	7520	59750
1118	7527	59744
1119	7533	59733
1120	7540	59726
1121	7546	59715
1122	7553	59707
1123	7559	59696
1124	7564	59673
1125	7570	59665
1126	7577	59659
1127	7583	59649
1128	7590	59637
1129	7596	59628
1130	7603	59621
1131	7608	59603
1132	7614	59595
1133	7621	59587
1134	7628	59579
1135	7636	59582
1136	7643	59580
1137	7650	59579
1138	7657	59569
1139	7663	59557
1140	7669	59549
1141	7676	59541
1142	7682	59532
1143	7688	59518
1144	7694	59509
1145	7701	59501
1146	7708	59494
1147	7714	59484
1148	7720	59475
1149	7727	59468
1150	7734	59461
1151	7740	59450
1152	7746	59440
1153	7753	59431
1154	7759	59421
1155	7765	59413
1156	7772	59402
1157	7778	59395
1158	7783	59377
1159	7790	59368
1160	7796	59357
1161	7803	59349
1162	7809	59340
1163	7816	59333
1164	7822	59325
1165	7829	59316
1166	7835	59306
1167	7841	59297
1168	7848	59287
1169	7854	59281
1170	7861	59270
1171	7866	59254
1172	7871	59237
1173	7878	59228
1174	7884	59216
1175	7891	59211
1176	7897	59202
1177	7904	59195
1178	7910	59185
1179	7917	59177
1180	7923	59169
1181	7929	59158
1182	7936	59150
1183	7942	59142
1184	7949	59131
1185	7955	59122
1186	7962	59118
1187	7969	59114
1188	7976	59107
1189	7983	59101
1190	7989	59094
1191	7995	59078
1192	8000	59062
1193	8007	59053
1194	8013	59047
1195	8019	59031
1196	8025	59024
1197	8032	59018
1198	8039	59011
1199	8045	59002
1200	8051	58988
1201	8057	58973
1202	8063	58963
1203	8070	58957
1204	8074	58934
1205	8080	58922
1206	8086	58913
1207	8093	58906
1208	8099	58897
1209	8106	58891
1210	8112	58879
1211	8119	58871
1212	8125	58863
1213	8132	58854
1214	8138	58843
1215	8144	58836
1216	8151	58828
1217	8158	58821
1218	8164	58813
1219	8170	58802
1220	8177	58794
1221	8184	58789
1222	8189	58774
1223	8196	58770
1224	8202	58758
1225	8209	58753
1226	8215	58743
1227	8220	58718
1228	8226	58709
1229	8230	58686
1230	8237	58679
1231	8243	58669
1232	8249	58653
1233	8255	58643
1234	8261	58635
1235	8267	58625
1236	8274	58614
1237	8280	58603
1238	8286	58595
1239	8292	58585
1240	8299	58575
1241	8305	58569
1242	8312	58560
1243	8318	58552
1244	8324	58541
1245	8330	58526
1246	8336	58518
1247	8343	58507
1248	8349	58502
1249	8355	58487
1250	8361	58477
1251	8367	58467
1252	8374	58458
1253	8380	58449
1254	8386	58439
1255	8393	58431
1256	8399	58421
1257	8405	58409
1258	8411	58399
1259	8418	58392
1260	8424	58385
1261	8431	58377
1262	8437	58370
1263	8442	58352
1264	8449	58341
1265	8456	58337
1266	8462	58328
1267	8468	58319
1268	8474	58309
1269	8481	58301
1270	8486	58287
1271	8493	58276
1272	8499	58268
1273	8505	58258
1274	8511	58248
1275	8518	58238
1276	8523	58225
1277	8530	58219
1278	8536	58210
1279	8546	58220
1280	8552	58210
1281	8558	58198
1282	8564	58189
1283	8570	58179
1284	8576	58169
1285	8583	58159
1286	8589	58151
1287	8596	58146
1288	8602	58136
1289	8609	58130
1290	8615	58120
1291	8620	58103
1292	8628	58103
1293	8635	58098
1294	8642	58091
1295	8647	58079
1296	8654	58073
1297	8660	58062
1298	8666	58052
1299	8673	58043
1300	8679	58036
1301	8685	58020
1302	8691	58009
1303	8697	58002
1304	8703	57992
1305	8710	57986
1306	8717	57980
1307	8723	57971
1308	8730	57962
1309	8736	57952
1310	8742	57942
1311	8748	57932
1312	8754	57920
1313	8761	57913
1314	8766	57896
1315	8771	57881
1316	8777	57871
1317	8783	57860
1318	8790	57852
1319	8796	57843
1320	8802	57832
1321	8809	57825
1322	8815	57815
1323	8821	57807
1324	8828	57798
1325	8834	57791
1326	8839	57776
1327	8846	57767
1328	8852	57758
1329	8858	57743
1330	8864	57733
1331	8870	57723
1332	8877	57717
1333	8882	57704
1334	8888	57694
1335	8895	57686
1336	8901	57678
1337	8908	57670
1338	8914	57659
1339	8921	57658
1340	8929	57657
1341	8935	57648
1342	8942	57643
1343	8948	57634
1344	8955	57625
1345	8960	57612
1346	8967	57608
1347	8974	57601
1348	8981	57594
1349	8986	57582
1350	8993	57574
1351	8999	57566
1352	9005	57555
1353	9012	57546
1354	9018	57539
1355	9024	57525
1356	9030	57516
1357	9036	57506
1358	9043	57499
1359	9049	57488
1360	9055	57477
1361	9061	57470
1362	9068	57461
1363	9074	57452
1364	9080	57441
1365	9086	57433
1366	9092	57423
1367	9099	57415
1368	9105	57408
1369	9112	57400
1370	9118	57391
1371	9124	57382
1372	9130	57370
1373	9137	57362
1374	9144	57358
1375	9150	57350
1376	9156	57341
1377	9162	57329
1378	9169	57323
1379	9176	57317
1380	9181	57305
1381	9187	57290
1382	9193	57281
1383	9200	57275
1384	9206	57266
1385	9212	57257
1386	9218	57247
1387	9225	57238
1388	9231	57229
1389	9238	57223
1390	9244	57215
1391	9250	57206
1392	9257	57197
1393	9263	57188
1394	9269	57180
1395	9275	57170
1396	9282	57162
1397	9288	57155
1398	9295	57147
1399	9301	57138
1400	9308	57132
1401	9314	57124
1402	9321	57117
1403	9327	57107
1404	9333	57097
1405	9340	57093
1406	9346	57084
1407	9353	57077
1408	9359	57067
1409	9365	57056
1410	9371	57046
1411	9377	57033
1412	9383	57024
1413	9389	57016
1414	9396	57008
1415	9402	57000
1416	9409	56992
1417	9416	56987
1418	9422	56976
1419	9428	56966
1420	9434	56959
1421	9441	56955
1422	9447	56943
1423	9454	56936
1424	9459	56925
1425	9465	56913
1426	9472	56905
1427	9478	56894
1428	9484	56887
1429	9491	56880
1430	9497	56874
1431	9504	56865
1432	9511	56861
1433	9518	56856
1434	9524	56848
1435	9530	56838
1436	9537	56834
1437	9544	56826
1438	9550	56820
1439	9557	56814
1440	9564	56807
1441	9570	56799
1442	9576	56790
1443	9582	56779
1444	9588	56770
1445	9595	56763
1446	9604	56771
1447	9610	56762
1448	9617	56755
1449	9625	56754
1450	9631	56747
1451	9637	56738
1452	9644	56730
1453	9650	56724
1454	9658	56720
1455	9664	56713
1456	9671	56706
1457	9677	56700
1458	9683	56689
1459	9689	56677
1460	9695	56666
1461	9702	56660
1462	9707	56648
1463	9715	56644
1464	9721	56634
1465	9727	56627
1466	9734	56622
1467	9740	56612
1468	9747	56605
1469	9753	56599
1470	9759	56589
1471	9766	56583
1472	9772	56573
1473	9779	56566
1474	9786	56559
1475	9793	56556
1476	9799	56550
1477	9806	56540
1478	9817	56563
1479	9823	56551
1480	9829	56538
1481	9835	56529
1482	9841	56521
1483	9848	56515
1484	9854	56506
1485	9860	56497
1486	9867	56489
1487	9873	56483
1488	9879	56471
1489	9886	56465
1490	9892	56456
1491	9898	56447
1492	9907	56450
1493	9913	56442
1494	9920	56435
1495	9926	56425
1496	9932	56418
1497	9939	56409
1498	9945	56401
1499	9951	56392
1500	9957	56379
1501	9964	56374
1502	9970	56367
1503	9977	56361
1504	9983	56352
1505	9990	56347
1506	9997	56340
1507	10003	56333
1508	10010	56328
1509	10018	56326
1510	10025	56321
1511	10032	56317
1512	10037	56306
1513	10045	56303
1514	10052	56298
1515	10058	56291
1516	10065	56285
1517	10072	56282
1518	10079	56279
1519	10087	56279
1520	10094	56274
1521	10101	56270
1522	10108	56266
1523	10116	56262
1524	10123	56259
1525	10129	56251
1526	10137	56250
1527	10144	56245
1528	10151	56242
1529	10158	56236
1530	10166	56235
1531	10172	56230
1532	10179	56224
1533	10186	56220
1534	10194	56218
1535	10201	56215
1536	10209	56213
1537	10215	56205
1538	10222	56199
1539	10228	56192
1540	10235	56184
1541	10241	56176
1542	10249	56175
1543	10256	56169
1544	10263	56168
1545	10270	56162
1546	10278	56162
1547	10285	56157
1548	10293	56161
1549	10302	56163
1550	10309	56159
1551	10316	56155
1552	10323	56149
1553	10330	56144
1554	10338	56147
1555	10345	56143
1556	10353	56141
1557	10360	56139
1558	10368	56141
1559	10376	56137
1560	10383	56135
1561	10391	56136
1562	10398	56131
1563	10406	56131
1564	10413	56128
1565	10421	56125
1566	10428	56123
1567	10436	56125
1568	10444	56122
1569	10451	56117
1570	10458	56114
1571	10465	56111
1572	10472	56104
1573	10479	56099
1574	10486	56094
1575	10494	56093
1576	10500	56085
1577	10506	56076
1578	10513	56071
1579	10521	56070
1580	10529	56068
1581	10536	56065
1582	10543	56060
1583	10550	56056
1584	10557	56050
1585	10565	56050
1586	10572	56045
1587	10578	56037
1588	10586	56036
1589	10593	56033
1590	10601	56033
1591	10609	56031
1592	10617	56033
1593	10625	56035
1594	10635	56044
1595	10643	56042
1596	10653	56054
1597	10660	56050
1598	10667	56047
1599	10675	56047
1600	10682	56040
1601	10691	56047
1602	10700	56053
1603	10709	56056
1604	10715	56049
1605	10723	56046
1606	10729	56039
1607	10737	56036
1608	10743	56030
1609	10751	56025
1610	10758	56020
1611	10765	56016
1612	10773	56017
1613	10780	56015
1614	10787	56008
1615	10794	56002
1616	10801	55998
1617	10808	55995
1618	10816	55991
1619	10823	55989
1620	10831	55987
1621	10838	55984
1622	10846	55981
1623	10853	55976
1624	10860	55971
1625	10870	55986
1626	10878	55984
1627	10885	55980
1628	10893	55978
1629	10901	55979
1630	10908	55974
1631	10915	55967
1632	10922	55961
1633	10928	55952
1634	10936	55952
1635	10943	55950
1636	10952	55951
1637	10959	55948
1638	10966	55945
1639	10973	55939
1640	10980	55932
1641	10988	55931
1642	10995	55929
1643	11003	55928
1644	11010	55924
1645	11018	55920
1646	11024	55913
1647	11032	55911
1648	11039	55908
1649	11046	55901
1650	11053	55898
1651	11061	55898
1652	11069	55899
1653	11077	55894
1654	11084	55891
1655	11092	55890
1656	11099	55883
1657	11107	55884
1658	11115	55884
1659	11122	55882
1660	11129	55876
1661	11136	55870
1662	11144	55870
1663	11150	55861
1664	11158	55858
1665	11165	55856
1666	11172	55849
1667	11179	55844
1668	11186	55840
1669	11194	55838
1670	11201	55832
1671	11208	55825
1672	11215	55823
1673	11223	55820
1674	11230	55818
